epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1085.65,1.3652,1.42647,1.32885,0.55218,0.5,0.48457,0.25357,1.70387,1.79513,1.48274,0.0009605,0.0009605,0.0009605
44,1111.33,1.28633,1.39796,1.2921,0.59761,0.51562,0.51845,0.26533,1.70279,1.70255,1.47127,0.00093575,0.00093575,0.00093575
45,1137.21,1.32412,1.45545,1.27728,0.66895,0.45312,0.51022,0.27384,1.66054,1.66847,1.45365,0.000911,0.000911,0.000911
46,1163.27,1.27957,1.30239,1.22654,0.67026,0.5625,0.55657,0.28983,1.63058,1.6336,1.44401,0.00088625,0.00088625,0.00088625
47,1190.54,1.38478,1.38336,1.31052,0.64819,0.51823,0.532,0.29104,1.58922,1.63584,1.44762,0.0008615,0.0008615,0.0008615
48,1217.42,1.29214,1.38592,1.27801,0.71898,0.45312,0.50944,0.28175,1.61855,1.6576,1.45087,0.00083675,0.00083675,0.00083675
49,1244.06,1.26532,1.39319,1.28258,0.53002,0.4375,0.46325,0.24952,1.60328,1.75561,1.42964,0.000812,0.000812,0.000812
50,1270.13,1.33214,1.3205,1.28726,0.5876,0.5,0.47719,0.26088,1.64923,1.77774,1.46913,0.00078725,0.00078725,0.00078725
51,1296.32,1.38963,1.43466,1.35055,0.51756,0.53646,0.50303,0.28655,1.59961,1.7053,1.44325,0.0007625,0.0007625,0.0007625
52,1322.29,1.17518,1.40013,1.18981,0.59295,0.5,0.52917,0.29808,1.54163,1.68763,1.38382,0.00073775,0.00073775,0.00073775
53,1348.36,1.33926,1.41673,1.27348,0.54199,0.53626,0.5413,0.2975,1.49843,1.66314,1.34343,0.000713,0.000713,0.000713
54,1373.91,1.28095,1.32341,1.25973,0.53087,0.5625,0.54128,0.28618,1.48736,1.65683,1.327,0.00068825,0.00068825,0.00068825
55,1399.89,1.22953,1.22741,1.2135,0.59522,0.48253,0.52368,0.28455,1.43942,1.70386,1.28477,0.0006635,0.0006635,0.0006635
56,1425.43,1.16162,1.2056,1.1959,0.67478,0.46875,0.52499,0.2964,1.43284,1.67907,1.27858,0.00063875,0.00063875,0.00063875
57,1451.26,1.18744,1.24642,1.21519,0.70619,0.4375,0.54226,0.30929,1.40658,1.64948,1.26918,0.000614,0.000614,0.000614
58,1476.67,1.19614,1.19817,1.18572,0.72063,0.45312,0.56272,0.32032,1.41468,1.62589,1.28057,0.00058925,0.00058925,0.00058925
