epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1141.63,0.84464,1.157,1.05038,0.76916,0.5207,0.63196,0.39196,1.33961,1.43182,1.21055,0.0005941,0.0005941,0.0005941
43,1168.33,0.85447,0.81932,1.01437,0.81216,0.5,0.64033,0.39042,1.36663,1.41854,1.21638,0.0005842,0.0005842,0.0005842
44,1195.25,0.90836,0.90073,1.05457,0.62555,0.64062,0.6475,0.39156,1.36492,1.40104,1.21529,0.0005743,0.0005743,0.0005743
45,1221.76,0.88058,0.85269,1.02304,0.60975,0.65625,0.65266,0.39371,1.35744,1.38857,1.21814,0.0005644,0.0005644,0.0005644
46,1247.57,0.95366,0.88169,1.05783,0.60556,0.65625,0.6493,0.39278,1.34564,1.38737,1.21189,0.0005545,0.0005545,0.0005545
47,1273.61,0.86075,0.82128,1.01488,0.74177,0.54688,0.65062,0.40043,1.33912,1.39968,1.20789,0.0005446,0.0005446,0.0005446
48,1299.17,0.97872,0.92695,1.04611,0.75307,0.53125,0.65283,0.40106,1.33935,1.4026,1.2078,0.0005347,0.0005347,0.0005347
49,1324.48,0.86618,0.81073,1.0073,0.75978,0.54688,0.65317,0.40652,1.34337,1.39772,1.21211,0.0005248,0.0005248,0.0005248
50,1349.92,0.87724,0.83407,1.03195,0.78455,0.54688,0.64877,0.40624,1.33538,1.37188,1.2093,0.0005149,0.0005149,0.0005149
51,1375.81,0.84945,0.83359,1.01433,0.77117,0.54688,0.64986,0.40623,1.33216,1.36644,1.20429,0.000505,0.000505,0.000505
52,1401.52,0.90496,0.84774,1.04153,0.75286,0.54688,0.65089,0.40238,1.32222,1.36606,1.20305,0.0004951,0.0004951,0.0004951
53,1426.05,0.89394,0.85917,1.02145,0.74773,0.55582,0.65611,0.40638,1.32206,1.358,1.20524,0.0004852,0.0004852,0.0004852
54,1450.85,0.88683,0.88915,1.04146,0.74541,0.5625,0.66,0.41387,1.31047,1.35752,1.2035,0.0004753,0.0004753,0.0004753
